train,val,test
test_001,test_002,test_002
test_003,test_005,test_005
test_004,test_008,test_008
test_006,test_012,test_012
test_007,test_015,test_015
test_009,test_016,test_016
test_010,test_024,test_024
test_013,test_029,test_029
test_014,test_042,test_042
test_017,test_045,test_045
test_018,test_051,test_051
test_019,test_060,test_060
test_020,test_068,test_068
test_021,test_079,test_079
test_022,test_082,test_082
test_023,test_083,test_083
test_025,test_088,test_088
test_026,test_091,test_091
test_027,test_100,test_100
test_028,test_105,test_105
test_030,test_109,test_109
test_031,test_113,test_113
test_032,test_123,test_123
test_033,test_127,test_127
test_034,normal_005,normal_005
test_035,normal_011,normal_011
test_036,normal_012,normal_012
test_037,normal_021,normal_021
test_038,normal_023,normal_023
test_039,normal_027,normal_027
test_040,normal_052,normal_052
test_041,normal_053,normal_053
test_043,normal_057,normal_057
test_044,normal_063,normal_063
test_046,normal_069,normal_069
test_047,normal_070,normal_070
test_048,normal_076,normal_076
test_050,normal_083,normal_083
test_052,normal_087,normal_087
test_053,normal_092,normal_092
test_054,normal_103,normal_103
test_055,normal_104,normal_104
test_056,normal_108,normal_108
test_057,normal_109,normal_109
test_058,normal_114,normal_114
test_059,normal_115,normal_115
test_061,normal_116,normal_116
test_062,normal_122,normal_122
test_063,normal_123,normal_123
test_064,normal_134,normal_134
test_065,normal_137,normal_137
test_066,normal_138,normal_138
test_067,normal_143,normal_143
test_069,normal_146,normal_146
test_070,normal_147,normal_147
test_071,normal_152,normal_152
test_072,normal_159,normal_159
test_073,tumor_001,tumor_001
test_074,tumor_003,tumor_003
test_075,tumor_004,tumor_004
test_076,tumor_006,tumor_006
test_077,tumor_014,tumor_014
test_078,tumor_016,tumor_016
test_080,tumor_030,tumor_030
test_081,tumor_041,tumor_041
test_084,tumor_052,tumor_052
test_085,tumor_053,tumor_053
test_086,tumor_061,tumor_061
test_087,tumor_063,tumor_063
test_089,tumor_064,tumor_064
test_090,tumor_069,tumor_069
test_092,tumor_082,tumor_082
test_093,tumor_085,tumor_085
test_094,tumor_089,tumor_089
test_095,tumor_090,tumor_090
test_096,tumor_096,tumor_096
test_097,tumor_098,tumor_098
test_098,tumor_111,tumor_111
test_099,,
test_101,,
test_102,,
test_103,,
test_104,,
test_106,,
test_107,,
test_108,,
test_110,,
test_111,,
test_112,,
test_114,,
test_115,,
test_116,,
test_117,,
test_118,,
test_119,,
test_120,,
test_121,,
test_122,,
test_124,,
test_125,,
test_126,,
test_128,,
test_129,,
test_130,,
normal_001,,
normal_002,,
normal_003,,
normal_004,,
normal_006,,
normal_007,,
normal_008,,
normal_009,,
normal_010,,
normal_013,,
normal_014,,
normal_015,,
normal_016,,
normal_017,,
normal_018,,
normal_019,,
normal_020,,
normal_022,,
normal_024,,
normal_025,,
normal_026,,
normal_028,,
normal_029,,
normal_030,,
normal_031,,
normal_032,,
normal_033,,
normal_034,,
normal_035,,
normal_036,,
normal_037,,
normal_038,,
normal_039,,
normal_040,,
normal_041,,
normal_042,,
normal_043,,
normal_044,,
normal_045,,
normal_046,,
normal_047,,
normal_048,,
normal_049,,
normal_050,,
normal_051,,
normal_054,,
normal_055,,
normal_056,,
normal_058,,
normal_059,,
normal_060,,
normal_061,,
normal_062,,
normal_064,,
normal_065,,
normal_066,,
normal_067,,
normal_068,,
normal_071,,
normal_072,,
normal_073,,
normal_074,,
normal_075,,
normal_077,,
normal_078,,
normal_079,,
normal_080,,
normal_081,,
normal_082,,
normal_084,,
normal_085,,
normal_088,,
normal_089,,
normal_090,,
normal_091,,
normal_093,,
normal_094,,
normal_095,,
normal_096,,
normal_097,,
normal_098,,
normal_099,,
normal_100,,
normal_101,,
normal_102,,
normal_105,,
normal_106,,
normal_107,,
normal_110,,
normal_111,,
normal_112,,
normal_113,,
normal_117,,
normal_118,,
normal_119,,
normal_120,,
normal_121,,
normal_124,,
normal_125,,
normal_126,,
normal_127,,
normal_128,,
normal_129,,
normal_130,,
normal_131,,
normal_132,,
normal_133,,
normal_135,,
normal_136,,
normal_139,,
normal_140,,
normal_141,,
normal_142,,
normal_144,,
normal_145,,
normal_148,,
normal_149,,
normal_150,,
normal_151,,
normal_153,,
normal_154,,
normal_155,,
normal_156,,
normal_157,,
normal_158,,
tumor_002,,
tumor_005,,
tumor_007,,
tumor_008,,
tumor_009,,
tumor_010,,
tumor_012,,
tumor_013,,
tumor_015,,
tumor_017,,
tumor_018,,
tumor_019,,
tumor_020,,
tumor_021,,
tumor_022,,
tumor_023,,
tumor_024,,
tumor_025,,
tumor_026,,
tumor_027,,
tumor_028,,
tumor_029,,
tumor_031,,
tumor_032,,
tumor_033,,
tumor_034,,
tumor_035,,
tumor_036,,
tumor_037,,
tumor_038,,
tumor_039,,
tumor_040,,
tumor_042,,
tumor_043,,
tumor_044,,
tumor_045,,
tumor_046,,
tumor_047,,
tumor_048,,
tumor_049,,
tumor_050,,
tumor_051,,
tumor_054,,
tumor_055,,
tumor_056,,
tumor_057,,
tumor_058,,
tumor_059,,
tumor_060,,
tumor_062,,
tumor_065,,
tumor_066,,
tumor_067,,
tumor_068,,
tumor_070,,
tumor_071,,
tumor_072,,
tumor_073,,
tumor_074,,
tumor_075,,
tumor_076,,
tumor_077,,
tumor_078,,
tumor_079,,
tumor_080,,
tumor_081,,
tumor_083,,
tumor_084,,
tumor_086,,
tumor_087,,
tumor_088,,
tumor_091,,
tumor_092,,
tumor_093,,
tumor_094,,
tumor_095,,
tumor_097,,
tumor_099,,
tumor_100,,
tumor_101,,
tumor_102,,
tumor_103,,
tumor_104,,
tumor_105,,
tumor_106,,
tumor_107,,
tumor_108,,
tumor_109,,
tumor_110,,
