train,val,test
test_002,test_001,test_001
test_003,test_014,test_014
test_004,test_017,test_017
test_005,test_020,test_020
test_006,test_030,test_030
test_007,test_036,test_036
test_008,test_038,test_038
test_009,test_047,test_047
test_010,test_058,test_058
test_012,test_063,test_063
test_013,test_065,test_065
test_015,test_070,test_070
test_016,test_075,test_075
test_018,test_076,test_076
test_019,test_077,test_077
test_021,test_087,test_087
test_022,test_106,test_106
test_023,test_121,test_121
test_024,test_124,test_124
test_025,test_129,test_129
test_026,test_130,test_130
test_027,normal_006,normal_006
test_028,normal_008,normal_008
test_029,normal_010,normal_010
test_031,normal_013,normal_013
test_032,normal_019,normal_019
test_033,normal_022,normal_022
test_034,normal_026,normal_026
test_035,normal_034,normal_034
test_037,normal_035,normal_035
test_039,normal_037,normal_037
test_040,normal_038,normal_038
test_041,normal_042,normal_042
test_042,normal_044,normal_044
test_043,normal_047,normal_047
test_044,normal_049,normal_049
test_045,normal_051,normal_051
test_046,normal_054,normal_054
test_048,normal_060,normal_060
test_050,normal_068,normal_068
test_051,normal_071,normal_071
test_052,normal_091,normal_091
test_053,normal_093,normal_093
test_054,normal_099,normal_099
test_055,normal_102,normal_102
test_056,normal_107,normal_107
test_057,normal_110,normal_110
test_059,normal_113,normal_113
test_060,normal_120,normal_120
test_061,normal_121,normal_121
test_062,normal_131,normal_131
test_064,normal_132,normal_132
test_066,normal_150,normal_150
test_067,normal_156,normal_156
test_068,tumor_013,tumor_013
test_069,tumor_023,tumor_023
test_071,tumor_025,tumor_025
test_072,tumor_026,tumor_026
test_073,tumor_037,tumor_037
test_074,tumor_040,tumor_040
test_078,tumor_042,tumor_042
test_079,tumor_048,tumor_048
test_080,tumor_055,tumor_055
test_081,tumor_058,tumor_058
test_082,tumor_072,tumor_072
test_083,tumor_076,tumor_076
test_084,tumor_078,tumor_078
test_085,tumor_083,tumor_083
test_086,tumor_086,tumor_086
test_088,tumor_088,tumor_088
test_089,tumor_091,tumor_091
test_090,tumor_092,tumor_092
test_091,tumor_094,tumor_094
test_092,tumor_097,tumor_097
test_093,tumor_103,tumor_103
test_094,tumor_104,tumor_104
test_095,tumor_105,tumor_105
test_096,tumor_107,tumor_107
test_097,tumor_108,tumor_108
test_098,,
test_099,,
test_100,,
test_101,,
test_102,,
test_103,,
test_104,,
test_105,,
test_107,,
test_108,,
test_109,,
test_110,,
test_111,,
test_112,,
test_113,,
test_114,,
test_115,,
test_116,,
test_117,,
test_118,,
test_119,,
test_120,,
test_122,,
test_123,,
test_125,,
test_126,,
test_127,,
test_128,,
normal_001,,
normal_002,,
normal_003,,
normal_004,,
normal_005,,
normal_007,,
normal_009,,
normal_011,,
normal_012,,
normal_014,,
normal_015,,
normal_016,,
normal_017,,
normal_018,,
normal_020,,
normal_021,,
normal_023,,
normal_024,,
normal_025,,
normal_027,,
normal_028,,
normal_029,,
normal_030,,
normal_031,,
normal_032,,
normal_033,,
normal_036,,
normal_039,,
normal_040,,
normal_041,,
normal_043,,
normal_045,,
normal_046,,
normal_048,,
normal_050,,
normal_052,,
normal_053,,
normal_055,,
normal_056,,
normal_057,,
normal_058,,
normal_059,,
normal_061,,
normal_062,,
normal_063,,
normal_064,,
normal_065,,
normal_066,,
normal_067,,
normal_069,,
normal_070,,
normal_072,,
normal_073,,
normal_074,,
normal_075,,
normal_076,,
normal_077,,
normal_078,,
normal_079,,
normal_080,,
normal_081,,
normal_082,,
normal_083,,
normal_084,,
normal_085,,
normal_087,,
normal_088,,
normal_089,,
normal_090,,
normal_092,,
normal_094,,
normal_095,,
normal_096,,
normal_097,,
normal_098,,
normal_100,,
normal_101,,
normal_103,,
normal_104,,
