,train,val,test
0,1660,1943,1943
1,1952,5970,5970
2,3191,8279,8279
3,4827,12442,12442
4,4877,15470,15470
5,6359,17291,17291
6,6449,22155,22155
7,7482,25923,25923
8,7955,27315,27315
9,9658,30272,30272
10,10548,36063,36063
11,11263,40129,40129
12,12222,43796,43796
13,13526,45990,45990
14,13987,51346,51346
15,14051,52931,52931
16,15231,56947,56947
17,15486,60685,60685
18,16325,63165,63165
19,16876,2666,2666
20,17067,5265,5265
21,18014,7329,7329
22,18813,10469,10469
23,20205,14401,14401
24,21929,15742,15742
25,22290,18138,18138
26,22425,20882,20882
27,22489,22740,22740
28,24563,26939,26939
29,25928,30712,30712
30,26219,32636,32636
31,26533,35909,35909
32,26950,38901,38901
33,28603,43280,43280
34,29615,44962,44962
35,29915,46688,46688
36,30203,50246,50246
37,30369,51215,51215
38,31033,52836,52836
39,32032,53900,53900
40,35197,57711,57711
41,38349,60936,60936
42,38669,63429,63429
43,38687,431,431
44,39880,1101,1101
45,40888,1774,1774
46,42125,3098,3098
47,42296,5015,5015
48,42549,5851,5851
49,44283,6843,6843
50,44581,8805,8805
51,44976,10143,10143
52,45725,12159,12159
53,46543,15139,15139
54,46769,16042,16042
55,47960,17365,17365
56,48506,18568,18568
57,52259,19255,19255
58,52375,20670,20670
59,52420,24617,24617
60,52461,26124,26124
61,53377,27249,27249
62,54928,28121,28121
63,55287,29147,29147
64,56861,29904,29904
65,57598,31333,31333
66,58947,32596,32596
67,58974,35239,35239
68,59515,36204,36204
69,60988,37655,37655
70,61961,38535,38535
71,62828,39297,39297
72,63015,39990,39990
73,63289,43432,43432
74,64824,45104,45104
75,286,46469,46469
76,2906,47911,47911
77,3222,50589,50589
78,3511,52275,52275
79,4608,53688,53688
80,6281,54949,54949
81,6363,57100,57100
82,6793,59589,59589
83,7204,61280,61280
84,7490,62641,62641
85,8531,64188,64188
86,10077,65533,65533
87,10246,281,281
88,10800,6898,6898
89,11431,11557,11557
90,12522,21303,21303
91,12902,31300,31300
92,14424,34277,34277
93,14617,38959,38959
94,15188,52612,52612
95,15671,65022,65022
96,15912,3084,3084
97,16064,9254,9254
98,17487,23523,23523
99,17738,31297,31297
100,18607,37307,37307
101,18810,42260,42260
102,19030,48550,48550
103,19569,56799,56799
104,21232,,
105,21373,,
106,21910,,
107,22221,,
108,22924,,
109,23629,,
110,24023,,
111,25604,,
112,27851,,
113,28066,,
114,28736,,
115,30515,,
116,30792,,
117,31383,,
118,32042,,
119,32432,,
120,33984,,
121,34690,,
122,34822,,
123,35754,,
124,35953,,
125,38118,,
126,38479,,
127,38647,,
128,39269,,
129,40079,,
130,40124,,
131,40503,,
132,43998,,
133,44232,,
134,44700,,
135,44804,,
136,45254,,
137,45578,,
138,45630,,
139,46444,,
140,47105,,
141,49942,,
142,49995,,
143,50048,,
144,50304,,
145,50962,,
146,51032,,
147,51128,,
148,51499,,
149,51679,,
150,52108,,
151,52752,,
152,52846,,
153,53098,,
154,53402,,
155,53859,,
156,54408,,
157,55279,,
158,55876,,
159,56875,,
160,59002,,
161,59760,,
162,59900,,
163,60928,,
164,61320,,
165,61823,,
166,63121,,
167,63367,,
168,63836,,
169,64771,,
170,4,,
171,706,,
172,970,,
173,1020,,
174,1080,,
175,1252,,
176,1289,,
177,1295,,
178,1666,,
179,1925,,
180,2097,,
181,2706,,
182,3055,,
183,3264,,
184,3881,,
185,4211,,
186,4963,,
187,5114,,
188,5251,,
189,5264,,
190,5307,,
191,5992,,
192,6140,,
193,6175,,
194,6558,,
195,6951,,
196,8213,,
197,8240,,
198,8713,,
199,9154,,
200,9341,,
201,9509,,
202,9697,,
203,10642,,
204,10896,,
205,11417,,
206,11559,,
207,13364,,
208,14039,,
209,14127,,
210,14542,,
211,15209,,
212,15221,,
213,15293,,
214,15871,,
215,16209,,
216,16494,,
217,16986,,
218,17174,,
219,17416,,
220,17854,,
221,18196,,
222,18547,,
223,18896,,
224,18914,,
225,18981,,
226,19157,,
227,19512,,
228,20312,,
229,20316,,
230,20463,,
231,20858,,
232,21432,,
233,22654,,
234,24507,,
235,24759,,
236,24991,,
237,25561,,
238,25792,,
239,26190,,
240,26603,,
241,26644,,
242,27245,,
243,27739,,
244,27747,,
245,27950,,
246,28028,,
247,28393,,
248,28519,,
249,28821,,
250,28922,,
251,29200,,
252,29240,,
253,29331,,
254,29888,,
255,30508,,
256,30539,,
257,30738,,
258,30794,,
259,31473,,
260,32035,,
261,32112,,
262,32192,,
263,34247,,
264,34649,,
265,34720,,
266,34845,,
267,35592,,
268,35652,,
269,35998,,
270,36008,,
271,36499,,
272,36513,,
273,36639,,
274,37367,,
275,38018,,
276,38041,,
277,38048,,
278,38097,,
279,39144,,
280,39146,,
281,39172,,
282,39255,,
283,39365,,
284,39425,,
285,39728,,
286,39893,,
287,40639,,
288,41361,,
289,41801,,
290,43390,,
291,43671,,
292,43815,,
293,43875,,
294,44432,,
295,45185,,
296,46139,,
297,46172,,
298,46435,,
299,46736,,
300,46793,,
301,47020,,
302,47837,,
303,47984,,
304,48861,,
305,48973,,
306,49281,,
307,50712,,
308,50878,,
309,51021,,
310,51832,,
311,52308,,
312,52438,,
313,52784,,
314,53059,,
315,54007,,
316,54506,,
317,54590,,
318,54825,,
319,54990,,
320,55281,,
321,56221,,
322,56843,,
323,57468,,
324,58895,,
325,59031,,
326,59383,,
327,60058,,
328,60287,,
329,61033,,
330,61089,,
331,61424,,
332,61493,,
333,61689,,
334,61852,,
335,63298,,
336,63897,,
337,63941,,
338,64111,,
339,64629,,
340,64950,,
341,65300,,
342,65371,,
343,66,,
344,2391,,
345,3092,,
346,3672,,
347,5852,,
348,8130,,
349,8985,,
350,9183,,
351,10252,,
352,12244,,
353,13387,,
354,15583,,
355,21260,,
356,23796,,
357,25256,,
358,26025,,
359,26862,,
360,31793,,
361,33708,,
362,33839,,
363,33976,,
364,34688,,
365,38366,,
366,38585,,
367,38849,,
368,39258,,
369,39466,,
370,41099,,
371,49872,,
372,54473,,
373,56500,,
374,57162,,
375,61100,,
376,2227,,
377,3997,,
378,4797,,
379,5456,,
380,6582,,
381,14312,,
382,14532,,
383,20329,,
384,21445,,
385,25331,,
386,28562,,
387,30868,,
388,30986,,
389,34508,,
390,35792,,
391,36678,,
392,37190,,
393,38019,,
394,39208,,
395,39252,,
396,39872,,
397,44530,,
398,46815,,
399,47431,,
400,48502,,
401,49587,,
402,51893,,
403,56117,,
404,56351,,
405,56993,,
406,57265,,
407,62476,,
408,65094,,
