,train,val,test
0,1660,1952,1952
1,1943,6359,6359
2,3191,9658,9658
3,4827,13526,13526
4,4877,15486,15486
5,5970,18014,18014
6,6449,22290,22290
7,7482,25928,25928
8,7955,28603,28603
9,8279,30369,30369
10,10548,38349,38349
11,11263,40888,40888
12,12222,44283,44283
13,12442,46543,46543
14,13987,52259,52259
15,14051,53377,53377
16,15231,57598,57598
17,15470,60988,60988
18,16325,63289,63289
19,16876,2906,2906
20,17067,6281,6281
21,17291,7490,7490
22,18813,10800,10800
23,20205,14424,14424
24,21929,15912,15912
25,22155,18607,18607
26,22425,21232,21232
27,22489,22924,22924
28,24563,27851,27851
29,25923,30792,30792
30,26219,33984,33984
31,26533,35953,35953
32,26950,39269,39269
33,27315,43998,43998
34,29615,45254,45254
35,29915,47105,47105
36,30203,50304,50304
37,30272,51499,51499
38,31033,52846,52846
39,32032,54408,54408
40,35197,59002,59002
41,36063,61320,61320
42,38669,63836,63836
43,38687,706,706
44,39880,1252,1252
45,40129,1925,1925
46,42125,3264,3264
47,42296,5114,5114
48,42549,5992,5992
49,43796,6951,6951
50,44581,9154,9154
51,44976,10642,10642
52,45725,13364,13364
53,45990,15209,15209
54,46769,16209,16209
55,47960,17416,17416
56,48506,18896,18896
57,51346,19512,19512
58,52375,20858,20858
59,52420,24759,24759
60,52461,26190,26190
61,52931,27739,27739
62,54928,28393,28393
63,55287,29200,29200
64,56861,30508,30508
65,56947,31473,31473
66,58947,34247,34247
67,58974,35592,35592
68,59515,36499,36499
69,60685,38018,38018
70,61961,39144,39144
71,62828,39365,39365
72,63015,40639,40639
73,63165,43671,43671
74,64824,45185,45185
75,286,46736,46736
76,2666,47984,47984
77,3222,50712,50712
78,3511,52308,52308
79,4608,54007,54007
80,5265,54990,54990
81,6363,57468,57468
82,6793,60058,60058
83,7204,61424,61424
84,7329,63298,63298
85,8531,64629,64629
86,10077,2391,2391
87,10246,8130,8130
88,10469,12244,12244
89,11431,23796,23796
90,12522,31793,31793
91,12902,34688,34688
92,14401,39258,39258
93,14617,54473,54473
94,15188,3997,3997
95,15671,14312,14312
96,15742,25331,25331
97,16064,34508,34508
98,17487,38019,38019
99,17738,44530,44530
100,18138,49587,49587
101,18810,56993,56993
102,19030,,
103,19569,,
104,20882,,
105,21373,,
106,21910,,
107,22221,,
108,22740,,
109,23629,,
110,24023,,
111,25604,,
112,26939,,
113,28066,,
114,28736,,
115,30515,,
116,30712,,
117,31383,,
118,32042,,
119,32432,,
120,32636,,
121,34690,,
122,34822,,
123,35754,,
124,35909,,
125,38118,,
126,38479,,
127,38647,,
128,38901,,
129,40079,,
130,40124,,
131,40503,,
132,43280,,
133,44232,,
134,44700,,
135,44804,,
136,44962,,
137,45578,,
138,45630,,
139,46444,,
140,46688,,
141,49942,,
142,49995,,
143,50048,,
144,50246,,
145,50962,,
146,51032,,
147,51128,,
148,51215,,
149,51679,,
150,52108,,
151,52752,,
152,52836,,
153,53098,,
154,53402,,
155,53859,,
156,53900,,
157,55279,,
158,55876,,
159,56875,,
160,57711,,
161,59760,,
162,59900,,
163,60928,,
164,60936,,
165,61823,,
166,63121,,
167,63367,,
168,63429,,
169,64771,,
170,4,,
171,431,,
172,970,,
173,1020,,
174,1080,,
175,1101,,
176,1289,,
177,1295,,
178,1666,,
179,1774,,
180,2097,,
181,2706,,
182,3055,,
183,3098,,
184,3881,,
185,4211,,
186,4963,,
187,5015,,
188,5251,,
189,5264,,
190,5307,,
191,5851,,
192,6140,,
193,6175,,
194,6558,,
195,6843,,
196,8213,,
197,8240,,
198,8713,,
199,8805,,
200,9341,,
201,9509,,
202,9697,,
203,10143,,
204,10896,,
205,11417,,
206,11559,,
207,12159,,
208,14039,,
209,14127,,
210,14542,,
211,15139,,
212,15221,,
213,15293,,
214,15871,,
215,16042,,
216,16494,,
217,16986,,
218,17174,,
219,17365,,
220,17854,,
221,18196,,
222,18547,,
223,18568,,
224,18914,,
225,18981,,
226,19157,,
227,19255,,
228,20312,,
229,20316,,
230,20463,,
231,20670,,
232,21432,,
233,22654,,
234,24507,,
235,24617,,
236,24991,,
237,25561,,
238,25792,,
239,26124,,
240,26603,,
241,26644,,
242,27245,,
243,27249,,
244,27747,,
245,27950,,
246,28028,,
247,28121,,
248,28519,,
249,28821,,
250,28922,,
251,29147,,
252,29240,,
253,29331,,
254,29888,,
255,29904,,
256,30539,,
257,30738,,
258,30794,,
259,31333,,
260,32035,,
261,32112,,
262,32192,,
263,32596,,
264,34649,,
265,34720,,
266,34845,,
267,35239,,
268,35652,,
269,35998,,
270,36008,,
271,36204,,
272,36513,,
273,36639,,
274,37367,,
275,37655,,
276,38041,,
277,38048,,
278,38097,,
279,38535,,
280,39146,,
281,39172,,
282,39255,,
283,39297,,
284,39425,,
285,39728,,
286,39893,,
287,39990,,
288,41361,,
289,41801,,
290,43390,,
291,43432,,
292,43815,,
293,43875,,
294,44432,,
295,45104,,
296,46139,,
297,46172,,
298,46435,,
299,46469,,
300,46793,,
301,47020,,
302,47837,,
303,47911,,
304,48861,,
305,48973,,
306,49281,,
307,50589,,
308,50878,,
309,51021,,
310,51832,,
311,52275,,
312,52438,,
313,52784,,
314,53059,,
315,53688,,
316,54506,,
317,54590,,
318,54825,,
319,54949,,
320,55281,,
321,56221,,
322,56843,,
323,57100,,
324,58895,,
325,59031,,
326,59383,,
327,59589,,
328,60287,,
329,61033,,
330,61089,,
331,61280,,
332,61493,,
333,61689,,
334,61852,,
335,62641,,
336,63897,,
337,63941,,
338,64111,,
339,64188,,
340,64950,,
341,65300,,
342,65371,,
343,65533,,
344,66,,
345,281,,
346,3092,,
347,3672,,
348,5852,,
349,6898,,
350,8985,,
351,9183,,
352,10252,,
353,11557,,
354,13387,,
355,15583,,
356,21260,,
357,21303,,
358,25256,,
359,26025,,
360,26862,,
361,31300,,
362,33708,,
363,33839,,
364,33976,,
365,34277,,
366,38366,,
367,38585,,
368,38849,,
369,38959,,
370,39466,,
371,41099,,
372,49872,,
373,52612,,
374,56500,,
375,57162,,
376,61100,,
377,65022,,
378,2227,,
379,3084,,
380,4797,,
381,5456,,
382,6582,,
383,9254,,
384,14532,,
385,20329,,
386,21445,,
387,23523,,
388,28562,,
389,30868,,
390,30986,,
391,31297,,
392,35792,,
393,36678,,
394,37190,,
395,37307,,
396,39208,,
397,39252,,
398,39872,,
399,42260,,
400,46815,,
401,47431,,
402,48502,,
403,48550,,
404,51893,,
405,56117,,
406,56351,,
407,56799,,
408,57265,,
409,62476,,
410,65094,,
