,train,val,test
0,1660,4827,4827
1,1943,7482,7482
2,1952,11263,11263
3,3191,14051,14051
4,4877,16876,16876
5,5970,20205,20205
6,6359,22489,22489
7,6449,26533,26533
8,7955,29915,29915
9,8279,32032,32032
10,9658,38687,38687
11,10548,42296,42296
12,12222,44976,44976
13,12442,47960,47960
14,13526,52420,52420
15,13987,55287,55287
16,15231,58974,58974
17,15470,62828,62828
18,15486,3511,3511
19,16325,6793,6793
20,17067,10077,10077
21,17291,12522,12522
22,18014,15188,15188
23,18813,17487,17487
24,21929,19030,19030
25,22155,21910,21910
26,22290,24023,24023
27,22425,28736,28736
28,24563,32042,32042
29,25923,34822,34822
30,25928,38479,38479
31,26219,40124,40124
32,26950,44700,44700
33,27315,45630,45630
34,28603,49995,49995
35,29615,51032,51032
36,30203,52108,52108
37,30272,53402,53402
38,30369,55876,55876
39,31033,59900,59900
40,35197,63121,63121
41,36063,1020,1020
42,38349,1295,1295
43,38669,2706,2706
44,39880,4211,4211
45,40129,5264,5264
46,40888,6175,6175
47,42125,8240,8240
48,42549,9509,9509
49,43796,11417,11417
50,44283,14127,14127
51,44581,15293,15293
52,45725,16986,16986
53,45990,18196,18196
54,46543,18981,18981
55,46769,20316,20316
56,48506,22654,22654
57,51346,25561,25561
58,52259,26644,26644
59,52375,27950,27950
60,52461,28821,28821
61,52931,29331,29331
62,53377,30738,30738
63,54928,32112,32112
64,56861,34720,34720
65,56947,35998,35998
66,57598,36639,36639
67,58947,38048,38048
68,59515,39172,39172
69,60685,39728,39728
70,60988,41801,41801
71,61961,43875,43875
72,63015,46172,46172
73,63165,47020,47020
74,63289,48973,48973
75,64824,51021,51021
76,286,52784,52784
77,2666,54590,54590
78,2906,56221,56221
79,3222,59031,59031
80,4608,61033,61033
81,5265,61689,61689
82,6281,63941,63941
83,6363,65300,65300
84,7204,3672,3672
85,7329,9183,9183
86,7490,15583,15583
87,8531,26025,26025
88,10246,33839,33839
89,10469,38585,38585
90,10800,41099,41099
91,11431,57162,57162
92,12902,5456,5456
93,14401,20329,20329
94,14424,30868,30868
95,14617,36678,36678
96,15671,39252,39252
97,15742,47431,47431
98,15912,56117,56117
99,16064,62476,62476
100,17738,,
101,18138,,
102,18607,,
103,18810,,
104,19569,,
105,20882,,
106,21232,,
107,21373,,
108,22221,,
109,22740,,
110,22924,,
111,23629,,
112,25604,,
113,26939,,
114,27851,,
115,28066,,
116,30515,,
117,30712,,
118,30792,,
119,31383,,
120,32432,,
121,32636,,
122,33984,,
123,34690,,
124,35754,,
125,35909,,
126,35953,,
127,38118,,
128,38647,,
129,38901,,
130,39269,,
131,40079,,
132,40503,,
133,43280,,
134,43998,,
135,44232,,
136,44804,,
137,44962,,
138,45254,,
139,45578,,
140,46444,,
141,46688,,
142,47105,,
143,49942,,
144,50048,,
145,50246,,
146,50304,,
147,50962,,
148,51128,,
149,51215,,
150,51499,,
151,51679,,
152,52752,,
153,52836,,
154,52846,,
155,53098,,
156,53859,,
157,53900,,
158,54408,,
159,55279,,
160,56875,,
161,57711,,
162,59002,,
163,59760,,
164,60928,,
165,60936,,
166,61320,,
167,61823,,
168,63367,,
169,63429,,
170,63836,,
171,64771,,
172,4,,
173,431,,
174,706,,
175,970,,
176,1080,,
177,1101,,
178,1252,,
179,1289,,
180,1666,,
181,1774,,
182,1925,,
183,2097,,
184,3055,,
185,3098,,
186,3264,,
187,3881,,
188,4963,,
189,5015,,
190,5114,,
191,5251,,
192,5307,,
193,5851,,
194,5992,,
195,6140,,
196,6558,,
197,6843,,
198,6951,,
199,8213,,
200,8713,,
201,8805,,
202,9154,,
203,9341,,
204,9697,,
205,10143,,
206,10642,,
207,10896,,
208,11559,,
209,12159,,
210,13364,,
211,14039,,
212,14542,,
213,15139,,
214,15209,,
215,15221,,
216,15871,,
217,16042,,
218,16209,,
219,16494,,
220,17174,,
221,17365,,
222,17416,,
223,17854,,
224,18547,,
225,18568,,
226,18896,,
227,18914,,
228,19157,,
229,19255,,
230,19512,,
231,20312,,
232,20463,,
233,20670,,
234,20858,,
235,21432,,
236,24507,,
237,24617,,
238,24759,,
239,24991,,
240,25792,,
241,26124,,
242,26190,,
243,26603,,
244,27245,,
245,27249,,
246,27739,,
247,27747,,
248,28028,,
249,28121,,
250,28393,,
251,28519,,
252,28922,,
253,29147,,
254,29200,,
255,29240,,
256,29888,,
257,29904,,
258,30508,,
259,30539,,
260,30794,,
261,31333,,
262,31473,,
263,32035,,
264,32192,,
265,32596,,
266,34247,,
267,34649,,
268,34845,,
269,35239,,
270,35592,,
271,35652,,
272,36008,,
273,36204,,
274,36499,,
275,36513,,
276,37367,,
277,37655,,
278,38018,,
279,38041,,
280,38097,,
281,38535,,
282,39144,,
283,39146,,
284,39255,,
285,39297,,
286,39365,,
287,39425,,
288,39893,,
289,39990,,
290,40639,,
291,41361,,
292,43390,,
293,43432,,
294,43671,,
295,43815,,
296,44432,,
297,45104,,
298,45185,,
299,46139,,
300,46435,,
301,46469,,
302,46736,,
303,46793,,
304,47837,,
305,47911,,
306,47984,,
307,48861,,
308,49281,,
309,50589,,
310,50712,,
311,50878,,
312,51832,,
313,52275,,
314,52308,,
315,52438,,
316,53059,,
317,53688,,
318,54007,,
319,54506,,
320,54825,,
321,54949,,
322,54990,,
323,55281,,
324,56843,,
325,57100,,
326,57468,,
327,58895,,
328,59383,,
329,59589,,
330,60058,,
331,60287,,
332,61089,,
333,61280,,
334,61424,,
335,61493,,
336,61852,,
337,62641,,
338,63298,,
339,63897,,
340,64111,,
341,64188,,
342,64629,,
343,64950,,
344,65371,,
345,65533,,
346,66,,
347,281,,
348,2391,,
349,3092,,
350,5852,,
351,6898,,
352,8130,,
353,8985,,
354,10252,,
355,11557,,
356,12244,,
357,13387,,
358,21260,,
359,21303,,
360,23796,,
361,25256,,
362,26862,,
363,31300,,
364,31793,,
365,33708,,
366,33976,,
367,34277,,
368,34688,,
369,38366,,
370,38849,,
371,38959,,
372,39258,,
373,39466,,
374,49872,,
375,52612,,
376,54473,,
377,56500,,
378,61100,,
379,65022,,
380,2227,,
381,3084,,
382,3997,,
383,4797,,
384,6582,,
385,9254,,
386,14312,,
387,14532,,
388,21445,,
389,23523,,
390,25331,,
391,28562,,
392,30986,,
393,31297,,
394,34508,,
395,35792,,
396,37190,,
397,37307,,
398,38019,,
399,39208,,
400,39872,,
401,42260,,
402,44530,,
403,46815,,
404,48502,,
405,48550,,
406,49587,,
407,51893,,
408,56351,,
409,56799,,
410,56993,,
411,57265,,
412,65094,,
