train,val,test
18B0004358D,18B0006623C,18B0006623C
16B0003394,17B0034449,17B0034449
17B0034675,18B0004349G,18B0004349G
18B0005124A,17B0031124,17B0031124
18B0006623I,16B0026794,16B0026794
18B0005477G,17B0034179,17B0034179
17B0021010,16B0022612,16B0022612
18B0002933H,17B0011996,17B0011996
17B0027608,18B001071J,18B001071J
16B0022608,16B0028168,16B0028168
17B0017506,17B0019359,17B0019359
18B0002933I,18B0005718B,18B0005718B
16B0006669,18B0005230E,18B0005230E
17B0016589,16B0028161,16B0028161
18B0006170D,17B0028627,17B0028627
16B0006668,18B0005773,18B0005773
18B0006622E,18B0006623H,18B0006623H
18B0001510J,17B0032153,17B0032153
17B0031079,16B0022616,16B0022616
18B0006623A,17B0029534,17B0029534
16B0027040,18B0005478I,18B0005478I
16B0027038,17B0034247,17B0034247
18B0003896D,17B0023980,17B0023980
18B0006179I,16B0003388,16B0003388
17B0016566,18B0001159D,18B0001159D
18B0005478A,18B000646H,18B000646H
18B0005478B,18B0006174B,18B0006174B
18B0002930B,18B0001506G,18B0001506G
16B0022613,18B0006623G,18B0006623G
17B0015685,,
16B0024177,,
16B0028817,,
16B0028816,,
17B0031893,,
18B0005478E,,
18B0004346A,,
18B0006621D,,
16B0023614,,
18B0006623F,,
16B0006694,,
17B0031932,,
18B0005478H,,
17B0031879,,
18B0001071H,,
16B0028814,,
17B0024162,,
18B0001966H,,
18B0002452G,,
16B0022615,,
18B0005125B,,
18B0003894J,,
18B0001971B,,
17B00208864,,
16B0006695,,
16B0028914,,
18B0002932D,,
16B0028815,,
17B0015969,,
18B0003901F,,
18B0006623J,,
16B0008045,,
16B0001851,,
16B0026795,,
17B0018428,,
18B0006177A,,
16B0022786,,
16B0028813,,
17B0027646,,
18B0003808K,,
17B0031053,,
18B0005478F,,
16B0028822,,
16B0024175,,
16B0008067,,
17B0031877,,
17B00116581,,
18B0002975B,,
17B0017511,,
17B0029587,,
16B0028138,,
17B0031109,,
18B0005478J,,
17B0034674,,
16B0022610,,
17B0034184,,
18B0006623D,,
17B0031103,,
17B0031108,,
18B0003894H,,
17B0016583,,
16B0024181,,
17B0016579,,
17B0023909,,
17B0017717,,
17B0022792,,
17B0023487,,
17B0017454,,
17B0031061,,
18B0006169B,,
18B0005126C,,
16B0024174,,
18B0001510G,,
16B0023613,,
17B0031904,,
16B0026796,,
18B0006623B,,
18B0005478D,,
17B0031890,,
16B0026792,,
16B0024173,,
18B0003032A,,
17B0015777,,
18B0006173F,,
16B0022781,,
16B0028148,,
16B0027039,,
18B0004349A,,
18B000646G,,
17B00208861,,
18B0005478C,,
17B0031911,,
18B0005478G,,
17B0015554,,
17B0024636,,
