train,val,test
18B0004358D,18B0005477G,18B0005477G
16B0003394,16B0022608,16B0022608
18B0006623C,16B0006669,16B0006669
17B0034675,17B0016589,17B0016589
18B0005124A,18B0006170D,18B0006170D
18B0006623I,18B0003896D,18B0003896D
17B0034449,18B0006179I,18B0006179I
17B0021010,16B0022613,16B0022613
18B0004349G,17B0031879,17B0031879
17B0031124,17B0024162,17B0024162
18B0002933H,18B0002452G,18B0002452G
16B0026794,18B0005125B,18B0005125B
17B0034179,17B00208864,17B00208864
17B0027608,16B0028914,16B0028914
16B0022612,16B0028815,16B0028815
17B0017506,16B0026795,16B0026795
18B0002933I,17B0031053,17B0031053
16B0006668,18B0005478F,18B0005478F
18B0006622E,16B0028822,16B0028822
18B0001510J,16B0028138,16B0028138
17B0031079,17B0034674,17B0034674
18B0006623A,17B0031108,17B0031108
16B0027040,16B0024181,16B0024181
16B0027038,17B0022792,17B0022792
17B0016566,17B0017454,17B0017454
18B0005478A,18B0006623B,18B0006623B
18B0005478B,16B0026792,16B0026792
17B0011996,16B0028148,16B0028148
18B001071J,18B0004349A,18B0004349A
16B0028168,17B0024636,17B0024636
17B0019359,,
18B0002930B,,
17B0015685,,
16B0024177,,
16B0028817,,
16B0028816,,
17B0031893,,
18B0005718B,,
18B0005478E,,
18B0004346A,,
18B0006621D,,
16B0023614,,
18B0006623F,,
16B0006694,,
18B0005230E,,
17B0031932,,
18B0005478H,,
18B0001071H,,
16B0028161,,
16B0028814,,
18B0001966H,,
16B0022615,,
18B0003894J,,
18B0001971B,,
16B0006695,,
18B0002932D,,
17B0028627,,
17B0015969,,
18B0003901F,,
18B0005773,,
18B0006623J,,
18B0006623H,,
17B0032153,,
16B0008045,,
16B0001851,,
17B0018428,,
18B0006177A,,
16B0022616,,
16B0022786,,
16B0028813,,
17B0029534,,
17B0027646,,
18B0005478I,,
18B0003808K,,
17B0034247,,
16B0024175,,
16B0008067,,
17B0031877,,
17B00116581,,
18B0002975B,,
17B0023980,,
16B0003388,,
17B0017511,,
17B0029587,,
17B0031109,,
18B0005478J,,
16B0022610,,
17B0034184,,
18B0006623D,,
17B0031103,,
18B0003894H,,
18B0001159D,,
17B0016583,,
17B0016579,,
17B0023909,,
17B0017717,,
17B0023487,,
17B0031061,,
18B0006169B,,
18B0005126C,,
16B0024174,,
18B0001510G,,
16B0023613,,
17B0031904,,
16B0026796,,
18B0005478D,,
17B0031890,,
16B0024173,,
18B0003032A,,
17B0015777,,
18B0006173F,,
16B0022781,,
18B000646H,,
16B0027039,,
18B0006174B,,
18B000646G,,
17B00208861,,
18B0005478C,,
17B0031911,,
18B0005478G,,
17B0015554,,
18B0001506G,,
18B0006623G,,
