train,val,test
4,706,706
66,1020,1020
281,1666,1666
286,2391,2391
431,4608,4608
970,4797,4797
1080,5970,5970
1101,6175,6175
1252,6558,6558
1289,6582,6582
1295,6843,6843
1660,7329,7329
1774,7955,7955
1925,8240,8240
1943,9509,9509
1952,10077,10077
2097,10143,10143
2227,10252,10252
2666,10469,10469
2706,10548,10548
2906,11557,11557
3055,14424,14424
3084,15209,15209
3092,16064,16064
3098,17067,17067
3191,17291,17291
3222,17487,17487
3264,18914,18914
3511,19157,19157
3672,20205,20205
3881,20312,20312
3997,20316,20316
4211,20670,20670
4827,20858,20858
4877,21260,21260
4963,21929,21929
5015,22155,22155
5114,23523,23523
5251,23629,23629
5264,23796,23796
5265,25604,25604
5307,25928,25928
5456,26190,26190
5851,26950,26950
5852,27950,27950
5992,28562,28562
6140,29615,29615
6281,29904,29904
6359,30508,30508
6363,30539,30539
6449,30794,30794
6793,30986,30986
6898,32032,32032
6951,32042,32042
7204,32112,32112
7482,33708,33708
7490,33984,33984
8130,34822,34822
8213,35239,35239
8279,35953,35953
8531,36204,36204
8713,36513,36513
8805,36639,36639
8985,38048,38048
9154,38669,38669
9183,38849,38849
9254,38901,38901
9341,39893,39893
9658,41361,41361
9697,42125,42125
10246,42296,42296
10642,43280,43280
10800,44232,44232
10896,44283,44283
11263,44432,44432
11417,44530,44530
11431,44700,44700
11559,44804,44804
12159,44962,44962
12222,45254,45254
12244,47837,47837
12442,48502,48502
12522,48506,48506
12902,49942,49942
13364,50304,50304
13387,51021,51021
13526,51832,51832
13987,52752,52752
14039,52784,52784
14051,54007,54007
14127,54473,54473
14312,54990,54990
14401,56117,56117
14532,56221,56221
14542,58895,58895
14617,59383,59383
15139,60685,60685
15188,60936,60936
15221,60988,60988
15231,63298,63298
15293,64111,64111
15470,65300,65300
15486,,
15583,,
15671,,
15742,,
15871,,
15912,,
16042,,
16209,,
16325,,
16494,,
16876,,
16986,,
17174,,
17365,,
17416,,
17738,,
17854,,
18014,,
18138,,
18196,,
18547,,
18568,,
18607,,
18810,,
18813,,
18896,,
18981,,
19030,,
19255,,
19512,,
19569,,
20329,,
20463,,
20882,,
21232,,
21303,,
21373,,
21432,,
21445,,
21910,,
22221,,
22290,,
22425,,
22489,,
22654,,
22740,,
22924,,
24023,,
24507,,
24563,,
24617,,
24759,,
24991,,
25256,,
25331,,
25561,,
25792,,
25923,,
26025,,
26124,,
26219,,
26533,,
26603,,
26644,,
26862,,
26939,,
27245,,
27249,,
27315,,
27739,,
27747,,
27851,,
28028,,
28066,,
28121,,
28393,,
28519,,
28603,,
28736,,
28821,,
28922,,
29147,,
29200,,
29240,,
29331,,
29888,,
29915,,
30203,,
30272,,
30369,,
30515,,
30712,,
30738,,
30792,,
30868,,
31033,,
31297,,
31300,,
31333,,
31383,,
31473,,
31793,,
32035,,
32192,,
32432,,
32596,,
32636,,
33839,,
33976,,
34247,,
34277,,
34508,,
34649,,
34688,,
34690,,
34720,,
34845,,
35197,,
35592,,
35652,,
35754,,
35792,,
35909,,
35998,,
36008,,
36063,,
36499,,
36678,,
37190,,
37307,,
37367,,
37655,,
38018,,
38019,,
38041,,
38097,,
38118,,
38349,,
38366,,
38479,,
38535,,
38585,,
38647,,
38687,,
38959,,
39144,,
39146,,
39172,,
39208,,
39252,,
39255,,
39258,,
39269,,
39297,,
39365,,
39425,,
39466,,
39728,,
39872,,
39880,,
39990,,
40079,,
40124,,
40129,,
40503,,
40639,,
40888,,
41099,,
41801,,
42260,,
42549,,
43390,,
43432,,
43671,,
43796,,
43815,,
43875,,
43998,,
44581,,
44976,,
45104,,
45185,,
45578,,
45630,,
45725,,
45990,,
46139,,
46172,,
46435,,
46444,,
46469,,
46543,,
46688,,
46736,,
46769,,
46793,,
46815,,
47020,,
47105,,
47431,,
47911,,
47960,,
47984,,
48550,,
48861,,
48973,,
49281,,
49587,,
49872,,
49995,,
50048,,
50246,,
50589,,
50712,,
50878,,
50962,,
51032,,
51128,,
51215,,
51346,,
51499,,
51679,,
51893,,
52108,,
52259,,
52275,,
52308,,
52375,,
52420,,
52438,,
52461,,
52612,,
52836,,
52846,,
52931,,
53059,,
53098,,
53377,,
53402,,
53688,,
53859,,
53900,,
54408,,
54506,,
54590,,
54825,,
54928,,
54949,,
55279,,
55281,,
55287,,
55876,,
56351,,
56500,,
56799,,
56843,,
56861,,
56875,,
56947,,
56993,,
57100,,
57162,,
57265,,
57468,,
57598,,
57711,,
58947,,
58974,,
59002,,
59031,,
59515,,
59589,,
59760,,
59900,,
60058,,
60287,,
60928,,
61033,,
61089,,
61100,,
61280,,
61320,,
61424,,
61493,,
61689,,
61823,,
61852,,
61961,,
62476,,
62641,,
62828,,
63015,,
63121,,
63165,,
63289,,
63367,,
63429,,
63836,,
63897,,
63941,,
64188,,
64629,,
64771,,
64824,,
64950,,
65022,,
65094,,
65371,,
65533,,
